title,price,image,link,reviews,stars,id
"null","null","null","null","null","null",""
"null","SAR 999.00","https://m.media-amazon.com/images/I/71fLtks4p5L._AC_UL320_.jpg","https://www.amazon.sa/-/en/Acer-Notebook-Celeron-Microsoft-Personal/dp/B09TR7JMBW/ref=sr_1_1?qid=1675263930&s=electronics&sr=1-1","3.9 out of 5 stars 40","3.9 out of 5 stars","B09TR7JMBW"
"null","SAR 899.00","https://m.media-amazon.com/images/I/61mhOgJ2CEL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-X543MA-GQ001W-Processor-processor-International/dp/B09Y68HYL6/ref=sr_1_2?qid=1675263930&s=electronics&sr=1-2","1.8 out of 5 stars 8","1.8 out of 5 stars","B09Y68HYL6"
"null","SAR 1,999.00","https://m.media-amazon.com/images/I/51uZwvkevRL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HUAWEI-MateBook-Generation-i5-1135G7-processor/dp/B09Z42NFD7/ref=sr_1_3?qid=1675263930&s=electronics&sr=1-3","4.3 out of 5 stars 87","4.3 out of 5 stars","B09Z42NFD7"
"null","null","null","null","null","null",""
"null","SAR 2,199.00","https://m.media-amazon.com/images/I/61eUpzig3GS._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-VivoBook-TM420UA-EC149W-Keyboard-International/dp/B0BHWW3M9B/ref=sr_1_4?qid=1675263930&s=electronics&sr=1-4","5.0 out of 5 stars 4","5.0 out of 5 stars","B0BHWW3M9B"
"null","SAR 2,399.00","https://m.media-amazon.com/images/I/61rGpIBlh9L._AC_UL320_.jpg","https://www.amazon.sa/-/en/Notebook-X571Gt-Bq185T-Processor-Windows10-International/dp/B09Y699ZJ1/ref=sr_1_5?qid=1675263930&s=electronics&sr=1-5","3.7 out of 5 stars 34","3.7 out of 5 stars","B09Y699ZJ1"
"null","SAR 3,749.00","https://m.media-amazon.com/images/I/61RHsomZZTS._AC_UL320_.jpg","https://www.amazon.sa/-/en/2020-Apple-MacBook-Air-Laptop/dp/B08NHHX7RT/ref=sr_1_6?qid=1675263930&s=electronics&sr=1-6","4.4 out of 5 stars 337","4.4 out of 5 stars","B08NHHX7RT"
"null","SAR 5,199.00","https://m.media-amazon.com/images/I/719C6bJv8jL._AC_UL320_.jpg","https://www.amazon.sa/-/en/2022-Apple-MacBook-laptop-M2/dp/B0B3C19BLM/ref=sr_1_7?qid=1675263930&s=electronics&sr=1-7","4.7 out of 5 stars 58","4.7 out of 5 stars","B0B3C19BLM"
"null","SAR 2,499.00","https://m.media-amazon.com/images/I/51WscRM5SfL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-Vivobook-X513EP-EJ1142-i7-1165G7-Keyboard/dp/B0B7Q5HLJ1/ref=sr_1_8?qid=1675263930&s=electronics&sr=1-8","4.0 out of 5 stars 3","4.0 out of 5 stars","B0B7Q5HLJ1"
"null","SAR 732.38","https://m.media-amazon.com/images/I/61ZUvstQfML._AC_UL320_.jpg","https://www.amazon.sa/-/en/idea-Laptop-Dual-Intel-Windows/dp/B0B82FJ4G1/ref=sr_1_9?qid=1675263930&s=electronics&sr=1-9","null","Only 3 left in stock - order soon.","B0B82FJ4G1"
"null","SAR 3,994.81","https://m.media-amazon.com/images/I/71h2AVQdfGL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-Micro-Edge-Display-Ethernet-Backlit/dp/B0BJPW8G33/ref=sr_1_10?qid=1675263930&s=electronics&sr=1-10","null","Options:2 capacities2 capacities","B0BJPW8G33"
"null","null","null","null","null","null",""
"null","SAR 4,329.00","https://m.media-amazon.com/images/I/61F8sufqQRL._AC_UL320_.jpg","https://www.amazon.sa/-/en/HP-Pavilion-i5-1035G1-15-6-Inch-Screen/dp/B087SD98F4/ref=sr_1_11?qid=1675263930&s=electronics&sr=1-11","4.5 out of 5 stars 645","4.5 out of 5 stars","B087SD98F4"
"null","SAR 3,561.30","https://m.media-amazon.com/images/I/71FJU-rQLtL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Dell-Inspiron-Business-Touchscreen-i5-1035G1/dp/B09DCC166G/ref=sr_1_12?qid=1675263930&s=electronics&sr=1-12","4.0 out of 5 stars 27","4.0 out of 5 stars","B09DCC166G"
"null","SAR 1,238.00","https://m.media-amazon.com/images/I/51PrYB3gjDL._AC_UL320_.jpg","https://www.amazon.sa/-/en/A315-56-317N-ESHELL_1SPAMEG-UMACRR_4U-SUPB_ACB_0-3MM_ROC-RED_EH61/dp/B08PYZZ183/ref=sr_1_13?qid=1675263930&s=electronics&sr=1-13","4.0 out of 5 stars 1","4.0 out of 5 stars","B08PYZZ183"
"null","SAR 9,499.00","https://m.media-amazon.com/images/I/61lYIKPieDL._AC_UL320_.jpg","https://www.amazon.sa/-/en/Apple-MacBook-laptop-10%E2%80%91core-16%E2%80%91core/dp/B0BSHGHTSB/ref=sr_1_14?qid=1675263930&s=electronics&sr=1-14","null","Options:2 capacities2 capacities","B0BSHGHTSB"
"null","SAR 3,902.87","https://m.media-amazon.com/images/I/71nk3uDrqkL._AC_UL320_.jpg","https://www.amazon.sa/-/en/MSI-Katana-GF66-Gaming-Laptop/dp/B08FD8Z37N/ref=sr_1_15?qid=1675263930&s=electronics&sr=1-15","4.4 out of 5 stars 129","4.4 out of 5 stars","B08FD8Z37N"
"null","SAR 796.90","https://m.media-amazon.com/images/I/715cjmUuohL._AC_UL320_.jpg","https://www.amazon.sa/-/en/ASUS-Anti-Glare-Eye-Care-Military-Grade-Durability/dp/B0BQCSGZRG/ref=sr_1_16?qid=1675263930&s=electronics&sr=1-16","null","null","B0BQCSGZRG"
"null","SAR 1,396.42","https://m.media-amazon.com/images/I/61NMZiXpjeL._AC_UL320_.jpg","https://www.amazon.sa/-/en/CHUWI-GemiBook-Notebook-Windows-Keyboard/dp/B08S71Y7M7/ref=sr_1_17?qid=1675263930&s=electronics&sr=1-17","4.2 out of 5 stars 251","4.2 out of 5 stars","B08S71Y7M7"
